iter	TotalF1:average=Micro	MultiClass
0	0.6198379945	1.083382023
1	0.6544975367	1.06885631
2	0.651697753	1.059534544
3	0.6644863582	1.046396684
4	0.6721613311	1.030028581
5	0.6786342774	1.01348427
6	0.6815824177	0.9980104882
7	0.6850787766	0.9835875288
8	0.6864300138	0.9700423448
9	0.6884493522	0.9570273671
10	0.6896535707	0.9446986751
11	0.6902523583	0.9330480484
12	0.690296598	0.9221494695
13	0.6905928608	0.9117544337
14	0.6907957359	0.9018830701
15	0.691328326	0.8925104018
16	0.691271353	0.8834859349
17	0.6918137661	0.8749236465
18	0.6918179403	0.8668732268
19	0.691989373	0.8590761596
20	0.6923519762	0.8517148184
21	0.6925297501	0.8447615916
22	0.6927694758	0.8381428659
23	0.6930810891	0.8317935115
24	0.6932983037	0.8255972329
25	0.6935840182	0.8196908237
26	0.6937533288	0.814050993
27	0.6936926408	0.8085575987
28	0.6936527833	0.8034261063
29	0.6943573964	0.7983599543
30	0.6945030573	0.7936664538
31	0.6945105495	0.7890529426
32	0.6945809933	0.7847381534
33	0.694684553	0.7804484991
34	0.6950556484	0.7763529692
35	0.6952647224	0.7724335951
36	0.6955125628	0.768608912
37	0.6957938234	0.7650380029
38	0.6957131984	0.7614757355
39	0.6959466629	0.7581659774
40	0.6960410902	0.7549043289
41	0.6964953331	0.7516761937
42	0.6966973832	0.7486218958
43	0.6971506805	0.7456120715
44	0.6972919786	0.7427870449
45	0.6973796664	0.7400552338
46	0.6974248396	0.7373797525
47	0.6975435705	0.7348125045
48	0.6977452506	0.7323013228
49	0.698063272	0.7298496853
50	0.6981425372	0.7275631379
51	0.698462231	0.7252833352
52	0.6984481268	0.723190596
53	0.6986824731	0.721091797
54	0.6987135081	0.7190903237
55	0.6986780747	0.7171528735
56	0.6989421623	0.7152513606
57	0.6991697958	0.7133445782
58	0.6997050269	0.7115064034
59	0.6998109314	0.7097916377
60	0.6998631879	0.7081609188
61	0.7000048222	0.7065502763
62	0.7001714687	0.7049111264
63	0.7003404413	0.7034207842
64	0.7004095386	0.702062809
65	0.7004469621	0.7006435509
66	0.7010547	0.6991869327
67	0.7011831946	0.697781902
68	0.7013376332	0.6963726556
69	0.7015157039	0.6950391305
70	0.7017167007	0.6937360098
71	0.7019787687	0.692546339
72	0.7019446856	0.6914556275
73	0.7019612391	0.6902750728
74	0.70231537	0.689168395
75	0.7022974843	0.6879889996
76	0.7025706519	0.6869807014
77	0.7028401274	0.6859016352
78	0.70307892	0.6848778976
79	0.7033352324	0.6839613395
80	0.7034208928	0.6830231242
81	0.7034839678	0.6821192126
82	0.7034438416	0.6812631998
83	0.7035328883	0.6803705648
84	0.7037116284	0.6795039605
85	0.7039449874	0.6786535859
86	0.7040387502	0.6778073215
87	0.7042198505	0.6768956639
88	0.704290685	0.6761092598
89	0.7045365583	0.6752549859
90	0.7046400979	0.6745624823
91	0.7046309654	0.6738595981
92	0.7048613083	0.6731848524
93	0.704946962	0.6724627349
94	0.7050525053	0.6717733929
95	0.7050005687	0.6711777935
96	0.7051914551	0.6705492077
97	0.7052966923	0.6698591808
98	0.7054005516	0.6691909691
99	0.705444073	0.6684500925
100	0.7056855707	0.6678164481
101	0.7058855598	0.6671803797
102	0.7059283821	0.6666140781
103	0.7061354634	0.6659330619
104	0.7063222988	0.6653878378
105	0.7065496284	0.6648230643
106	0.7065611026	0.6643704762
107	0.7066774669	0.6638686193
108	0.7069455783	0.6633092206
109	0.707220117	0.6627522458
110	0.7074116752	0.6622941775
111	0.7075078073	0.6618550264
112	0.7076403597	0.6613415768
113	0.7077236646	0.6608990005
114	0.7078292239	0.6604478878
115	0.7078831686	0.66005516
116	0.7080703445	0.6595496145
