iter	MultiClass
0	1.073765906
1	1.052536732
2	1.039283594
3	1.026642741
4	1.015906381
5	1.006112553
6	0.9968076797
7	0.9779704534
8	0.9600412244
9	0.9433257763
10	0.9277430464
11	0.9130178894
12	0.8993733476
13	0.8865522628
14	0.8745662071
15	0.8632696632
16	0.8525687977
17	0.8425357995
18	0.8328777158
19	0.8236733311
20	0.8150583891
21	0.8069275444
22	0.7991752718
23	0.7917363973
24	0.7846700991
25	0.7779849511
26	0.7716912661
27	0.7658677082
28	0.7602044169
29	0.7546651178
30	0.749595946
31	0.7446875803
32	0.7400617347
33	0.7355426135
34	0.7314017046
35	0.7274006767
36	0.723547744
37	0.7197244303
38	0.7161187025
39	0.7129738686
40	0.7098707051
41	0.7068191052
42	0.7036960358
43	0.7008545871
44	0.6982144159
45	0.6957564558
46	0.6933079089
47	0.6909097265
48	0.6886769069
49	0.6865014068
50	0.6843125362
51	0.6821689335
52	0.6801138882
53	0.6781346891
54	0.6763320651
55	0.6746901873
56	0.6730850635
57	0.6714560765
58	0.6698568285
59	0.6683157993
60	0.6668641669
61	0.665623645
62	0.6643204074
63	0.6631178986
64	0.6619933946
65	0.6607270909
66	0.6596507928
67	0.6586077111
68	0.6574655196
69	0.6564277742
70	0.6554011209
71	0.6544978602
72	0.6536423858
73	0.6527789969
74	0.651977784
75	0.6512524175
76	0.650473269
77	0.6496715165
78	0.6489087964
79	0.6481784534
80	0.6476024411
81	0.6469864371
82	0.6463859622
83	0.645669889
84	0.64500454
85	0.644380082
86	0.643810725
87	0.6433025247
88	0.6426991119
89	0.6422644795
90	0.6418566482
91	0.6413324992
92	0.6408117678
93	0.6403178374
94	0.639874871
95	0.6393816601
96	0.6389577002
97	0.6385667769
98	0.6381715367
99	0.6378300784
100	0.6374274034
101	0.6369894734
102	0.636546447
103	0.6360514374
104	0.6356157857
105	0.6352510039
106	0.6349405437
107	0.6345667083
108	0.6343355719
109	0.6339788244
110	0.6335986335
111	0.6332943489
112	0.6330497221
113	0.632596323
114	0.6322437726
115	0.6318780914
116	0.6316166165
117	0.6312264727
118	0.6309744111
119	0.6306508801
120	0.6304506218
121	0.6302407704
122	0.6300469875
123	0.6298642969
124	0.6296052802
125	0.6293650902
126	0.6290039059
127	0.628837044
128	0.6286296508
129	0.628393478
130	0.6282073697
131	0.6279874454
132	0.6277810115
133	0.6276336958
134	0.6274465682
135	0.6272799462
136	0.6270110365
137	0.6267706667
138	0.6265474447
139	0.6263870582
140	0.6262129414
141	0.6260358268
142	0.6258846738
143	0.6257137947
144	0.6254810395
145	0.6252541001
146	0.6250203856
147	0.6248731898
148	0.6246669957
149	0.6244775298
150	0.6243098285
151	0.6241443457
152	0.6240381009
153	0.6238342452
154	0.6237239832
155	0.6235418321
156	0.6234230562
157	0.6232047507
158	0.6230152849
159	0.6228899736
160	0.6227277884
161	0.6226224429
162	0.6224674526
163	0.6223657646
164	0.6222171298
165	0.6220601609
166	0.6219543358
167	0.6218196712
168	0.6216526294
169	0.6215396094
170	0.6213868975
171	0.6212438987
172	0.6211456283
173	0.621025893
174	0.620908616
175	0.6207972749
176	0.6206918695
177	0.6205467122
178	0.6204220604
179	0.6203460942
180	0.620261614
181	0.6201915236
182	0.6201193947
183	0.6200191456
184	0.6198853204
185	0.6197832726
186	0.6196595802
187	0.6194928981
188	0.6193731029
189	0.6192714749
190	0.619199226
191	0.6191175039
192	0.6189483036
193	0.6188779135
194	0.6187801826
195	0.61872736
196	0.6185947339
197	0.6184857311
198	0.6184052081
199	0.618343092
200	0.6181993738
201	0.6181017628
202	0.6180410858
203	0.6179655393
204	0.6178700269
205	0.6178101293
206	0.6177536493
207	0.6176930921
208	0.6176018367
209	0.6175113008
210	0.6174302981
211	0.6173660836
212	0.6172801045
213	0.6172208664
214	0.617126793
215	0.61706036
216	0.6169873317
217	0.6169271343
218	0.6168238874
219	0.6167660883
220	0.616673274
221	0.6166173935
222	0.616558875
223	0.6164564075
224	0.6163887154
225	0.6163155672
