iter	Passed	Remaining
0	17	140509
1	35	140486
2	53	142208
3	70	141781
4	87	140677
5	107	142863
6	125	143447
7	143	143107
8	160	142366
9	178	142455
10	196	142554
11	213	142182
12	231	142266
13	249	142427
14	267	142499
15	285	142472
16	304	143146
17	322	143108
18	339	142756
19	357	142598
20	375	142630
21	392	142443
22	410	142225
23	427	141960
24	444	141646
25	461	141638
26	479	141623
27	496	141477
28	514	141297
29	532	141440
30	549	141226
31	567	141252
32	584	141031
33	601	140887
34	618	140800
35	635	140628
36	653	140688
37	670	140544
38	688	140544
39	706	140648
40	724	140608
41	743	140794
42	761	140979
43	781	141228
44	799	141392
45	818	141578
46	837	141785
47	857	142078
48	878	142559
49	898	142818
50	916	142877
51	934	142879
52	952	142826
53	970	142812
54	990	143045
55	1007	142986
56	1025	142915
57	1045	143174
58	1065	143398
59	1083	143399
60	1101	143419
61	1120	143444
62	1139	143503
63	1156	143448
64	1175	143542
65	1195	143663
66	1214	143818
67	1233	143873
68	1251	143881
69	1270	143948
70	1289	144024
71	1309	144194
72	1328	144299
73	1347	144368
74	1367	144453
75	1385	144467
76	1404	144525
77	1423	144539
78	1441	144526
79	1458	144411
80	1477	144446
81	1496	144487
82	1516	144606
83	1533	144518
84	1551	144447
85	1569	144454
86	1588	144485
87	1606	144455
88	1625	144492
89	1644	144556
90	1663	144542
91	1680	144492
92	1699	144523
93	1718	144521
94	1737	144543
95	1756	144578
96	1775	144679
97	1794	144723
98	1812	144691
99	1831	144668
100	1851	144770
101	1869	144728
102	1888	144810
103	1908	144867
104	1927	144907
105	1945	144851
106	1963	144872
107	1982	144837
108	2000	144826
109	2019	144842
110	2038	144865
111	2056	144849
112	2074	144811
113	2093	144803
114	2111	144758
115	2129	144731
116	2148	144787
117	2167	144798
118	2185	144756
119	2204	144739
120	2222	144747
121	2241	144762
122	2260	144774
123	2279	144760
124	2297	144748
125	2315	144684
126	2333	144640
127	2351	144644
128	2371	144698
129	2389	144682
130	2408	144683
131	2427	144666
132	2444	144599
133	2462	144530
134	2480	144541
135	2499	144551
136	2519	144628
137	2538	144606
138	2557	144625
139	2576	144634
140	2594	144613
141	2614	144682
142	2632	144619
143	2649	144572
144	2668	144577
145	2687	144565
146	2706	144571
147	2724	144551
148	2745	144657
149	2763	144622
150	2781	144608
151	2801	144627
152	2819	144621
153	2841	144765
154	2860	144760
155	2878	144739
156	2896	144712
157	2916	144737
158	2935	144752
159	2954	144762
160	2972	144738
161	2991	144757
162	3010	144753
163	3030	144798
164	3048	144759
165	3066	144737
166	3085	144737
167	3105	144761
168	3124	144777
169	3142	144759
170	3161	144762
171	3181	144777
172	3200	144796
173	3219	144819
174	3238	144821
175	3257	144816
176	3276	144817
177	3295	144827
178	3314	144805
179	3331	144746
180	3350	144729
181	3368	144693
182	3387	144692
183	3405	144662
184	3425	144705
185	3442	144631
186	3461	144612
187	3480	144619
188	3499	144635
189	3518	144613
190	3536	144600
191	3555	144573
192	3574	144577
193	3592	144565
194	3611	144556
195	3629	144511
196	3648	144508
197	3666	144456
198	3684	144439
199	3702	144391
200	3720	144378
201	3739	144356
202	3757	144339
203	3776	144337
204	3794	144301
205	3812	144257
206	3830	144212
207	3848	144172
208	3867	144164
209	3885	144150
210	3903	144107
211	3921	144054
212	3939	144039
213	3959	144041
214	3978	144042
215	3995	144003
216	4014	143972
217	4032	143953
218	4050	143912
219	4067	143853
220	4086	143827
221	4104	143790
222	4122	143771
223	4141	143766
224	4158	143716
225	4176	143674
226	4194	143619
227	4211	143576
228	4230	143551
229	4249	143547
230	4268	143552
231	4286	143533
232	4304	143477
233	4321	143413
234	4340	143407
235	4359	143421
236	4378	143408
237	4397	143408
238	4415	143379
239	4434	143392
240	4453	143366
241	4471	143355
242	4489	143310
243	4507	143291
244	4526	143274
245	4544	143254
246	4563	143248
247	4582	143231
248	4600	143199
249	4618	143162
250	4635	143122
251	4654	143098
252	4672	143078
253	4691	143077
254	4710	143067
255	4728	143037
256	4747	143034
257	4764	142985
258	4783	142977
259	4803	142984
260	4821	142973
261	4841	142988
262	4859	142946
263	4878	142942
264	4897	142940
265	4916	142942
266	4936	142965
267	4953	142925
268	4971	142887
269	4991	142895
270	5009	142881
271	5028	142874
272	5046	142830
273	5064	142810
274	5083	142793
275	5102	142788
276	5121	142786
277	5139	142756
278	5156	142706
279	5175	142706
280	5194	142683
281	5212	142661
282	5230	142637
283	5249	142621
284	5268	142615
285	5286	142574
286	5304	142554
287	5323	142544
288	5341	142520
289	5358	142473
290	5377	142455
291	5395	142424
292	5414	142412
293	5433	142419
294	5452	142414
295	5470	142383
296	5488	142356
297	5508	142359
298	5526	142336
299	5544	142308
300	5563	142298
301	5581	142281
302	5599	142242
303	5617	142206
304	5636	142196
305	5654	142165
306	5672	142149
307	5691	142146
308	5710	142134
309	5729	142118
310	5748	142111
311	5766	142083
312	5785	142082
313	5803	142049
314	5821	142030
315	5839	142004
316	5858	141990
317	5877	141982
318	5895	141950
319	5913	141929
320	5932	141918
321	5950	141890
322	5968	141867
323	5987	141857
324	6006	141839
325	6024	141805
326	6042	141780
327	6060	141756
328	6078	141734
329	6096	141702
330	6114	141667
331	6132	141644
332	6150	141612
333	6169	141596
334	6187	141581
335	6206	141577
336	6224	141541
337	6241	141494
338	6260	141470
339	6278	141453
340	6297	141449
341	6316	141432
342	6334	141408
343	6352	141387
344	6370	141353
345	6388	141320
346	6407	141315
347	6426	141308
348	6444	141278
349	6462	141243
350	6479	141209
351	6497	141177
352	6517	141178
353	6536	141178
354	6555	141180
355	6573	141153
356	6592	141136
357	6610	141103
358	6627	141069
359	6646	141053
360	6664	141027
361	6683	141021
362	6701	140988
363	6718	140950
364	6737	140929
365	6755	140915
366	6774	140896
367	6793	140888
368	6811	140871
369	6829	140829
370	6846	140788
371	6865	140772
372	6883	140761
373	6902	140754
374	6921	140740
375	6939	140718
376	6957	140678
377	6974	140633
378	6993	140628
379	7014	140654
380	7031	140617
381	7050	140609
382	7069	140592
383	7088	140588
384	7108	140604
385	7127	140600
386	7145	140565
387	7163	140544
388	7185	140579
389	7205	140596
390	7226	140636
391	7245	140620
392	7264	140612
393	7285	140642
394	7305	140661
395	7324	140647
396	7344	140648
397	7363	140642
398	7384	140680
399	7403	140673
400	7423	140674
401	7442	140669
402	7462	140678
403	7482	140689
404	7502	140699
405	7522	140701
406	7544	140759
407	7563	140746
408	7583	140751
409	7604	140770
410	7625	140798
411	7645	140803
412	7665	140810
413	7684	140811
414	7705	140833
415	7726	140855
416	7744	140836
417	7763	140817
418	7782	140801
419	7802	140809
420	7821	140805
421	7840	140786
422	7859	140790
423	7880	140808
424	7899	140798
425	7917	140775
426	7937	140779
427	7957	140778
428	7978	140796
429	7999	140823
430	8019	140834
431	8039	140845
432	8057	140804
433	8075	140783
434	8095	140788
435	8114	140773
436	8134	140774
437	8153	140766
438	8172	140762
439	8191	140747
440	8210	140732
441	8228	140707
442	8247	140684
443	8265	140654
444	8283	140638
445	8303	140636
446	8323	140637
447	8341	140620
448	8361	140612
449	8380	140605
450	8400	140610
451	8420	140617
452	8438	140583
453	8457	140573
454	8475	140541
455	8493	140514
456	8511	140482
457	8529	140463
458	8549	140456
459	8568	140445
460	8587	140440
461	8606	140423
462	8626	140427
463	8645	140414
464	8664	140400
465	8683	140390
466	8704	140406
467	8725	140423
468	8744	140422
469	8765	140430
470	8785	140432
471	8804	140424
472	8823	140413
473	8842	140400
474	8861	140391
475	8883	140423
476	8902	140398
477	8921	140397
478	8941	140394
479	8960	140387
480	8980	140377
481	8998	140360
482	9017	140346
483	9037	140340
484	9056	140325
485	9076	140325
486	9095	140321
487	9114	140304
488	9133	140296
489	9154	140299
490	9172	140275
491	9191	140266
492	9210	140256
493	9231	140259
494	9249	140240
